horizon_h,steps,n,rmse,mae,bias,r2,sign_acc,coverage_raw,halfwidth_median,rmse_persist,rmse_clim
6,1,8450,1.1464613455270396,0.1693030026189498,0.0006627643090274845,0.9740799113209322,0.4975022706630336,0.882130177514793,0.21982860565185547,1.1472885142441334,1.1797863034515317
12,2,8449,0.9920279642995135,0.20200498097405895,0.03419219080185816,0.9805017554629979,0.6445727052690374,0.8546573559001065,0.2311849594116211,0.9925129710846513,1.0971800791062445
18,3,8426,1.0163292940702318,0.2098426041093202,0.030946942041187954,0.9795572322943752,0.6298411565232911,0.8514122952765251,0.2314389944076538,1.0165042318572135,1.2321026372113404
24,4,8430,1.132609228453515,0.14082928982328616,-0.010602567936817669,0.9746890853435073,0.5958834318320766,0.9201660735468564,0.2292022705078125,1.1345105604050938,1.4676475927612433
48,8,8363,0.6524105081858158,0.1723199008383364,-0.03440476400638673,0.9915462718739299,0.6042553191489362,0.9101996891067798,0.2792692184448242,0.657683588671189,1.9634755231565497
72,12,8311,0.7806653124213148,0.21360440162556463,-0.04130172420467097,0.9878957159785005,0.5885129819040126,0.8984478402117675,0.3190898895263672,0.7847851046661681,2.8574947214380737
168,28,8194,1.1566961228947,0.30725742344642254,-0.05835206850443727,0.9732927417397436,0.6222348269994328,0.8901635342933854,0.4620246887207031,1.1646731155163415,6.574966811222784
360,60,7870,1.601606546199792,0.47927006563925795,-0.05250365075447622,0.9507471324884095,0.7078325735598839,0.8880559085133418,0.7164331674575806,1.6311282354148782,13.86010956704354
720,120,7388,2.105924434925737,0.6811045239295308,-0.07127610280828243,0.913907139695955,0.7467744222316745,0.871142393069843,0.9321407079696655,2.1510493959071875,28.72255578814738
