lag,pearson_med
0,0.09971543408157389
1,0.1165545250158658
2,0.11698313411772733
3,0.12775169907168651
4,0.12433255171132743
5,0.1225995391150298
6,0.12522421762529176
7,0.13002783064223652
8,0.13596974827848884
9,0.13882301211833836
10,0.13740222940325053
11,0.12989025292651205
12,0.1211974358923675
13,0.12206945104144976
14,0.12083038850011808
15,0.11972761149481415
16,0.1204276153653944
17,0.12848845418199056
18,0.12496825133742043
19,0.1372251206987139
20,0.12978146800240825
21,0.13852777547119102
22,0.13567099283229
23,0.13208423287703402
24,0.12837286001304832
25,0.12944745156038778
26,0.13146991776389008
27,0.12857900759657426
28,0.1263265552397734
29,0.12653780820519386
30,0.12267054723164564
